,from_domain,from_vocab,from_standard,to_domain,to_vocab,to_standard,relationship,count
34,Condition,ICD10CM,,Observation,SNOMED,S,Maps to value,14
35,Condition,ICD10CM,,Procedure,ICD10CM,,Is a,6
36,Condition,ICD10CM,,Procedure,ICD10CM,,Subsumes,18
37,Condition,ICD10CM,,Procedure,SNOMED,S,Maps to value,10
38,Condition,ICD9CM,,Condition,ICD9CM,,Is a,21559
39,Condition,ICD9CM,,Condition,ICD9CM,,Subsumes,21559
40,Condition,ICD9CM,,Condition,SNOMED,S,Maps to,17512
41,Condition,ICD9CM,,Condition,SNOMED,S,Maps to value,3
42,Condition,ICD9CM,,Measurement,ICD9CM,,Is a,22
43,Condition,ICD9CM,,Measurement,ICD9CM,,Subsumes,70
44,Condition,ICD9CM,,Measurement,SNOMED,S,Maps to,168
45,Condition,ICD9CM,,Meas Value,SNOMED,S,Maps to value,167
46,Condition,ICD9CM,,Observation,ICD9CM,,Is a,606
47,Condition,ICD9CM,,Observation,ICD9CM,,Subsumes,251
48,Condition,ICD9CM,,Observation,OMOP Extension,S,Maps to,10
49,Condition,ICD9CM,,Observation,SNOMED,S,Maps to,689
50,Condition,ICD9CM,,Observation,SNOMED,S,Maps to value,1
51,Condition,ICD9CM,,Procedure,ICD9CM,,Is a,51
52,Condition,ICD9CM,,Procedure,ICD9CM,,Subsumes,22
53,Condition,ICD9CM,,Procedure,SNOMED,S,Maps to,17
54,Condition,ICD9CM,,Procedure,SNOMED,S,Maps to value,1
55,Condition,OMOP Extension,S,Condition,ICD10,,Mapped from,4
56,Condition,OMOP Extension,S,Condition,ICD10CM,,Mapped from,3
57,Condition,OMOP Extension,S,Condition,OMOP Extension,S,Is a,323
58,Condition,OMOP Extension,S,Condition,OMOP Extension,S,Mapped from,341
59,Condition,OMOP Extension,S,Condition,OMOP Extension,S,Maps to,341
60,Condition,OMOP Extension,S,Condition,OMOP Extension,S,Subsumes,323
61,Condition,OMOP Extension,S,Condition,OMOP Extension,,Concept replaces,4
62,Condition,OMOP Extension,S,Condition,OMOP Extension,,Is a,1
63,Condition,OMOP Extension,S,Condition,OMOP Extension,,Mapped from,4
64,Condition,OMOP Extension,S,Condition,OMOP Extension,,Subsumes,2
65,Condition,OMOP Extension,S,Condition,Read,,Mapped from,2
66,Condition,OMOP Extension,S,Condition,SNOMED,S,Is a,310
67,Condition,OMOP Extension,S,Condition,SNOMED,S,Subsumes,6
68,Condition,OMOP Extension,S,Condition,SNOMED,,Is a,4
69,Condition,OMOP Extension,S,Condition,SNOMED,,Mapped from,4
70,Condition,OMOP Extension,S,Observation,CO-CONNECT,,Mapped from,19
71,Condition,OMOP Extension,S,Observation,OMOP Extension,S,Subsumes,1
72,Condition,OMOP Extension,S,Observation,PPI,,Mapped from,1
73,Condition,OMOP Extension,S,Observation,Read,,Value mapped from,5
74,Condition,OMOP Extension,S,Observation,SNOMED,S,Is a,20
75,Condition,OMOP Extension,S,Observation,SNOMED,,Is a,2
76,Condition,OMOP Extension,S,Observation,SNOMED,,Value mapped from,5
77,Condition,OMOP Extension,,Condition,OMOP Extension,S,Concept replaced by,4
78,Condition,OMOP Extension,,Condition,OMOP Extension,S,Is a,2
79,Condition,OMOP Extension,,Condition,OMOP Extension,S,Maps to,4
80,Condition,OMOP Extension,,Condition,OMOP Extension,S,Subsumes,1
81,Condition,OMOP Extension,,Condition,SNOMED,S,Is a,5
82,Condition,OMOP Extension,,Condition,SNOMED,S,Maps to,3
83,Condition,OMOP Extension,,Condition,SNOMED,,Subsumes,1
84,Condition,OMOP Extension,,Observation,SNOMED,S,Maps to,1
85,Condition,OPCS4,S,Condition,OPCS4,S,Mapped from,1
86,Condition,OPCS4,S,Condition,OPCS4,S,Maps to,1
87,Condition,OPCS4,S,Meas Value,SNOMED,S,Has occurrence,1
88,Condition,OPCS4,S,Observation,SNOMED,S,Is a,1
89,Condition,OPCS4,,Observation,SNOMED,S,Maps to,5
90,Condition,Read,,Condition,OMOP Extension,S,Maps to,2
91,Condition,Read,,Condition,SNOMED,S,Maps to,41702
92,Condition,Read,,Condition,SNOMED,S,Maps to value,10
93,Condition,Read,,Drug,RxNorm,S,Maps to value,5
94,Condition,Read,,Drug,RxNorm Extension,S,Maps to value,1
95,Condition,Read,,Measurement,LOINC,S,Maps to,1
96,Condition,Read,,Measurement,SNOMED,S,Maps to,1272
97,Condition,Read,,Meas Value,LOINC,S,Maps to value,1
98,Condition,Read,,Meas Value,SNOMED,S,Maps to,1
99,Condition,Read,,Meas Value,SNOMED,S,Maps to value,54
100,Condition,Read,,Observation,OMOP Extension,S,Maps to,23
101,Condition,Read,,Observation,OMOP Extension,S,Maps to value,1
102,Condition,Read,,Observation,SNOMED,S,Maps to,4745
103,Condition,Read,,Observation,SNOMED,S,Maps to value,3
104,Condition,Read,,Procedure,SNOMED,S,Maps to,378
105,Condition,Read,,Procedure,SNOMED,S,Maps to value,1
106,Condition,Read,,Race,Race,S,Maps to,4
107,Condition,Read,,Type Concept,Type Concept,S,Maps to,71
108,Condition,SNOMED,S,Condition,CO-CONNECT,,Mapped from,11
109,Condition,SNOMED,S,Condition,ICD10,,Mapped from,15754
110,Condition,SNOMED,S,Condition,ICD10CM,,Mapped from,111791
111,Condition,SNOMED,S,Condition,ICD10CM,,Value mapped from,22
112,Condition,SNOMED,S,Condition,ICD9CM,,Mapped from,17512
113,Condition,SNOMED,S,Condition,ICD9CM,,Value mapped from,3
114,Condition,SNOMED,S,Condition,OMOP Extension,S,Is a,6
115,Condition,SNOMED,S,Condition,OMOP Extension,S,Subsumes,310
116,Condition,SNOMED,S,Condition,OMOP Extension,,Mapped from,3
117,Condition,SNOMED,S,Condition,OMOP Extension,,Subsumes,5
118,Condition,SNOMED,S,Condition,Read,,Mapped from,41702
119,Condition,SNOMED,S,Condition,Read,,Value mapped from,10
120,Condition,SNOMED,S,Condition,SNOMED,S,Asso finding of,11
121,Condition,SNOMED,S,Condition,SNOMED,S,Asso with finding,452
122,Condition,SNOMED,S,Condition,SNOMED,S,Due to of,5672
123,Condition,SNOMED,S,Condition,SNOMED,S,Finding asso with,452
124,Condition,SNOMED,S,Condition,SNOMED,S,Followed by,1039
125,Condition,SNOMED,S,Condition,SNOMED,S,Follows,1039
126,Condition,SNOMED,S,Condition,SNOMED,S,Has asso finding,11
127,Condition,SNOMED,S,Condition,SNOMED,S,Has due to,5672
128,Condition,SNOMED,S,Condition,SNOMED,S,Has manifestation,4
129,Condition,SNOMED,S,Condition,SNOMED,S,Has pathology,2
130,Condition,SNOMED,S,Condition,SNOMED,S,Has temp finding,4
131,Condition,SNOMED,S,Condition,SNOMED,S,Is a,204388
132,Condition,SNOMED,S,Condition,SNOMED,S,Manifestation of,4
133,Condition,SNOMED,S,Condition,SNOMED,S,Mapped from,96888
134,Condition,SNOMED,S,Condition,SNOMED,S,Maps to,96888
135,Condition,SNOMED,S,Condition,SNOMED,S,Occurs after,592
136,Condition,SNOMED,S,Condition,SNOMED,S,Occurs before,592
137,Condition,SNOMED,S,Condition,SNOMED,S,Pathology of,2
138,Condition,SNOMED,S,Condition,SNOMED,S,Subsumes,204388
139,Condition,SNOMED,S,Condition,SNOMED,S,Temp related to,4
140,Condition,SNOMED,S,Condition,SNOMED,,Asso finding of,22
141,Condition,SNOMED,S,Condition,SNOMED,,Asso with finding,146
142,Condition,SNOMED,S,Condition,SNOMED,,Concept alt_to from,286
143,Condition,SNOMED,S,Condition,SNOMED,,Concept poss_eq from,19615
144,Condition,SNOMED,S,Condition,SNOMED,,Concept replaces,5469
145,Condition,SNOMED,S,Condition,SNOMED,,Concept same_as from,13322
146,Condition,SNOMED,S,Condition,SNOMED,,Concept was_a from,17436
147,Condition,SNOMED,S,Condition,SNOMED,,Due to of,414
148,Condition,SNOMED,S,Condition,SNOMED,,Finding asso with,16
149,Condition,SNOMED,S,Condition,SNOMED,,Followed by,23
150,Condition,SNOMED,S,Condition,SNOMED,,Follows,225
151,Condition,SNOMED,S,Condition,SNOMED,,Has due to,82
152,Condition,SNOMED,S,Condition,SNOMED,,Has manifestation,7
153,Condition,SNOMED,S,Condition,SNOMED,,Is a,10092
154,Condition,SNOMED,S,Condition,SNOMED,,Manifestation of,108
155,Condition,SNOMED,S,Condition,SNOMED,,Mapped from,41455
156,Condition,SNOMED,S,Condition,SNOMED,,Occurs after,11
157,Condition,SNOMED,S,Condition,SNOMED,,Occurs before,233
158,Condition,SNOMED,S,Condition,SNOMED,,Subsumes,15385
159,Condition,SNOMED,S,Condition,SNOMED,,Value mapped from,10
160,Condition,SNOMED,S,Condition/Meas,Read,,Mapped from,15
161,Condition,SNOMED,S,Condition/Obs,Read,,Mapped from,8
162,Condition,SNOMED,S,Device,SNOMED,S,Finding asso with,642
163,Condition,SNOMED,S,Device,SNOMED,S,Has causative agent,259
164,Condition,SNOMED,S,Device,SNOMED,,Concept poss_eq from,2
165,Condition,SNOMED,S,Device,SNOMED,,Concept same_as from,1
166,Condition,SNOMED,S,Device,SNOMED,,Finding asso with,13
167,Condition,SNOMED,S,Device,SNOMED,,Has causative agent,17
168,Condition,SNOMED,S,Device,SNOMED,,Mapped from,3
169,Condition,SNOMED,S,Drug,HCPCS,,Mapped from,3
170,Condition,SNOMED,S,Drug,SNOMED,,Finding asso with,32
171,Condition,SNOMED,S,Drug,SNOMED,,Has causative agent,5184
172,Condition,SNOMED,S,Gender,SNOMED,,Concept poss_eq from,1
173,Condition,SNOMED,S,Measurement,ICD10CM,,Value mapped from,1
174,Condition,SNOMED,S,Measurement,SNOMED,S,Due to of,1
175,Condition,SNOMED,S,Measurement,SNOMED,S,Focus of,263
176,Condition,SNOMED,S,Measurement,SNOMED,S,Has due to,6
177,Condition,SNOMED,S,Measurement,SNOMED,S,Has interprets,4561
178,Condition,SNOMED,S,Measurement,SNOMED,S,Is a,71
179,Condition,SNOMED,S,Measurement,SNOMED,S,Precondition of,1
180,Condition,SNOMED,S,Measurement,SNOMED,S,Subsumes,37
181,Condition,SNOMED,S,Measurement,SNOMED,S,Using finding method,3
182,Condition,SNOMED,S,Measurement,SNOMED,,Concept alt_to from,1
183,Condition,SNOMED,S,Measurement,SNOMED,,Concept poss_eq from,36
184,Condition,SNOMED,S,Measurement,SNOMED,,Concept replaces,9
185,Condition,SNOMED,S,Measurement,SNOMED,,Concept same_as from,25
186,Condition,SNOMED,S,Measurement,SNOMED,,Concept was_a from,4
187,Condition,SNOMED,S,Measurement,SNOMED,,Finding asso with,1
188,Condition,SNOMED,S,Measurement,SNOMED,,Focus of,17
189,Condition,SNOMED,S,Measurement,SNOMED,,Has due to,26
190,Condition,SNOMED,S,Measurement,SNOMED,,Has interprets,795
191,Condition,SNOMED,S,Measurement,SNOMED,,Is a,177
192,Condition,SNOMED,S,Measurement,SNOMED,,Mapped from,38
193,Condition,SNOMED,S,Measurement,SNOMED,,Subsumes,53
194,Condition,SNOMED,S,Measurement,UK Biobank,,Mapped from,4
195,Condition,SNOMED,S,Meas Value,SNOMED,S,Has clinical course,5887
196,Condition,SNOMED,S,Meas Value,SNOMED,S,Has interpretation,8848
197,Condition,SNOMED,S,Meas Value,SNOMED,S,Has occurrence,15321
198,Condition,SNOMED,S,Meas Value,SNOMED,S,Has pathology,1
199,Condition,SNOMED,S,Meas Value,SNOMED,,Concept alt_to from,1
200,Condition,SNOMED,S,Meas Value,SNOMED,,Concept poss_eq from,1
201,Condition,SNOMED,S,Meas Value,SNOMED,,Concept replaces,2
202,Condition,SNOMED,S,Meas Value,SNOMED,,Concept same_as from,1
203,Condition,SNOMED,S,Meas Value,SNOMED,,Has clinical course,62
204,Condition,SNOMED,S,Meas Value,SNOMED,,Has interpretation,9
205,Condition,SNOMED,S,Meas Value,SNOMED,,Has occurrence,276
206,Condition,SNOMED,S,Meas Value,SNOMED,,Mapped from,4
207,Condition,SNOMED,S,Metadata,SNOMED,,Concept alt_to from,1
208,Condition,SNOMED,S,Metadata,SNOMED,,Concept poss_eq from,8
209,Condition,SNOMED,S,Metadata,SNOMED,,Concept same_as from,1
210,Condition,SNOMED,S,Metadata,SNOMED,,Concept was_a from,1
211,Condition,SNOMED,S,Metadata,SNOMED,,Has Module,97487
212,Condition,SNOMED,S,Metadata,SNOMED,,Has status,96888
213,Condition,SNOMED,S,Metadata,SNOMED,,Mapped from,10
214,Condition,SNOMED,S,Observation,CO-CONNECT,,Mapped from,2
215,Condition,SNOMED,S,Observation,CO-CONNECT,,Value mapped from,38
216,Condition,SNOMED,S,Observation,CO-CONNECT TWINS,,Mapped from,2
217,Condition,SNOMED,S,Observation,CO-CONNECT TWINS,,Value mapped from,1200
218,Condition,SNOMED,S,Observation,HCPCS,S,Subsumes,10
219,Condition,SNOMED,S,Observation,HCPCS,,Mapped from,117
220,Condition,SNOMED,S,Observation,HCPCS,,Value mapped from,48
221,Condition,SNOMED,S,Observation,ICD10,,Mapped from,4
222,Condition,SNOMED,S,Observation,ICD10,,Value mapped from,54
223,Condition,SNOMED,S,Observation,ICD10CM,,Mapped from,51
224,Condition,SNOMED,S,Observation,ICD10CM,,Value mapped from,323
225,Condition,SNOMED,S,Observation,ICD9CM,,Mapped from,5
226,Condition,SNOMED,S,Observation,ICD9CM,,Value mapped from,190
227,Condition,SNOMED,S,Observation,OMOP Extension,S,Subsumes,21
228,Condition,SNOMED,S,Observation,PPI,S,Subsumes,7
229,Condition,SNOMED,S,Observation,PPI,,Mapped from,13
230,Condition,SNOMED,S,Observation,PPI,,Value mapped from,1179
231,Condition,SNOMED,S,Observation,Read,,Mapped from,346
232,Condition,SNOMED,S,Observation,Read,,Value mapped from,584
233,Condition,SNOMED,S,Observation,SNOMED,S,Asso finding of,1318
234,Condition,SNOMED,S,Observation,SNOMED,S,Asso with finding,19
235,Condition,SNOMED,S,Observation,SNOMED,S,Due to of,76
236,Condition,SNOMED,S,Observation,SNOMED,S,During,23
237,Condition,SNOMED,S,Observation,SNOMED,S,Finding asso with,90
238,Condition,SNOMED,S,Observation,SNOMED,S,Focus of,486
239,Condition,SNOMED,S,Observation,SNOMED,S,Followed by,199
240,Condition,SNOMED,S,Observation,SNOMED,S,Follows,27
241,Condition,SNOMED,S,Observation,SNOMED,S,Has asso morph,68542
242,Condition,SNOMED,S,Observation,SNOMED,S,Has causative agent,8046
243,Condition,SNOMED,S,Observation,SNOMED,S,Has due to,12045
244,Condition,SNOMED,S,Observation,SNOMED,S,Has finding context,8
245,Condition,SNOMED,S,Observation,SNOMED,S,Has finding site,464
246,Condition,SNOMED,S,Observation,SNOMED,S,Has interprets,10961
247,Condition,SNOMED,S,Observation,SNOMED,S,Has manifestation,1
248,Condition,SNOMED,S,Observation,SNOMED,S,Has pathology,21673
249,Condition,SNOMED,S,Observation,SNOMED,S,Has severity,19
250,Condition,SNOMED,S,Observation,SNOMED,S,Has temp finding,18
251,Condition,SNOMED,S,Observation,SNOMED,S,Has temporal context,11
252,Condition,SNOMED,S,Observation,SNOMED,S,Is a,2269
253,Condition,SNOMED,S,Observation,SNOMED,S,Occurs after,2
254,Condition,SNOMED,S,Observation,SNOMED,S,Occurs before,95
255,Condition,SNOMED,S,Observation,SNOMED,S,Pathology of,164
256,Condition,SNOMED,S,Observation,SNOMED,S,Subsumes,1564
257,Condition,SNOMED,S,Observation,SNOMED,S,Temp related to,1
258,Condition,SNOMED,S,Observation,SNOMED,,Asso finding of,1383
259,Condition,SNOMED,S,Observation,SNOMED,,Asso with finding,1
260,Condition,SNOMED,S,Observation,SNOMED,,Concept alt_to from,88
261,Condition,SNOMED,S,Observation,SNOMED,,Concept poss_eq from,3751
262,Condition,SNOMED,S,Observation,SNOMED,,Concept replaces,582
263,Condition,SNOMED,S,Observation,SNOMED,,Concept same_as from,3690
264,Condition,SNOMED,S,Observation,SNOMED,,Concept was_a from,897
265,Condition,SNOMED,S,Observation,SNOMED,,Finding asso with,2
266,Condition,SNOMED,S,Observation,SNOMED,,Focus of,20
267,Condition,SNOMED,S,Observation,SNOMED,,Follows,190
268,Condition,SNOMED,S,Observation,SNOMED,,Has asso morph,14500
269,Condition,SNOMED,S,Observation,SNOMED,,Has causative agent,1260
270,Condition,SNOMED,S,Observation,SNOMED,,Has due to,40
271,Condition,SNOMED,S,Observation,SNOMED,,Has finding site,16
272,Condition,SNOMED,S,Observation,SNOMED,,Has interprets,60
273,Condition,SNOMED,S,Observation,SNOMED,,Has manifestation,3
274,Condition,SNOMED,S,Observation,SNOMED,,Has relat context,8
275,Condition,SNOMED,S,Observation,SNOMED,,Is a,410
276,Condition,SNOMED,S,Observation,SNOMED,,Manifestation of,1
277,Condition,SNOMED,S,Observation,SNOMED,,Mapped from,5522
278,Condition,SNOMED,S,Observation,SNOMED,,Occurs before,1461
279,Condition,SNOMED,S,Observation,SNOMED,,Pathology of,1
280,Condition,SNOMED,S,Observation,SNOMED,,Subsumes,278
281,Condition,SNOMED,S,Observation,SNOMED,,Using finding inform,85
282,Condition,SNOMED,S,Observation,SNOMED,,Value mapped from,1883
283,Condition,SNOMED,S,Observation,UK Biobank,,Mapped from,660
284,Condition,SNOMED,S,Observation,UK Biobank,,Value mapped from,135
285,Condition,SNOMED,S,Procedure,HCPCS,,Mapped from,3
286,Condition,SNOMED,S,Procedure,ICD10CM,,Value mapped from,1
287,Condition,SNOMED,S,Procedure,ICD10PCS,S,Focus of,133
288,Condition,SNOMED,S,Procedure,ICD9Proc,S,Focus of,25
289,Condition,SNOMED,S,Procedure,ICD9Proc,,Focus of,65
290,Condition,SNOMED,S,Procedure,OPCS4,S,Focus of,18
291,Condition,SNOMED,S,Procedure,Read,,Mapped from,4
292,Condition,SNOMED,S,Procedure,Read,,Value mapped from,1
293,Condition,SNOMED,S,Procedure,SNOMED,S,Before,1
294,Condition,SNOMED,S,Procedure,SNOMED,S,During,392
295,Condition,SNOMED,S,Procedure,SNOMED,S,Finding asso with,41
296,Condition,SNOMED,S,Procedure,SNOMED,S,Focus of,1426
297,Condition,SNOMED,S,Procedure,SNOMED,S,Followed by,1812
298,Condition,SNOMED,S,Procedure,SNOMED,S,Has due to,802
299,Condition,SNOMED,S,Procedure,SNOMED,S,Has interprets,285
300,Condition,SNOMED,S,Procedure,SNOMED,S,Occurs after,902
301,Condition,SNOMED,S,Procedure,SNOMED,S,Temp related to,40
302,Condition,SNOMED,S,Procedure,SNOMED,S,Using finding method,332
303,Condition,SNOMED,S,Procedure,SNOMED,,Concept poss_eq from,23
304,Condition,SNOMED,S,Procedure,SNOMED,,Concept replaces,10
305,Condition,SNOMED,S,Procedure,SNOMED,,Concept same_as from,22
306,Condition,SNOMED,S,Procedure,SNOMED,,Concept was_a from,2
307,Condition,SNOMED,S,Procedure,SNOMED,,Finding asso with,5
308,Condition,SNOMED,S,Procedure,SNOMED,,Focus of,56
309,Condition,SNOMED,S,Procedure,SNOMED,,Followed by,70
310,Condition,SNOMED,S,Procedure,SNOMED,,Has due to,29
311,Condition,SNOMED,S,Procedure,SNOMED,,Has interprets,4
312,Condition,SNOMED,S,Procedure,SNOMED,,Mapped from,48
313,Condition,SNOMED,S,Procedure,SNOMED,,Occurs after,56
314,Condition,SNOMED,S,Procedure,SNOMED,,Value mapped from,2
315,Condition,SNOMED,S,Spec Anatomic Site,SNOMED,S,Has asso morph,80
316,Condition,SNOMED,S,Spec Anatomic Site,SNOMED,S,Has finding site,93744
317,Condition,SNOMED,S,Spec Anatomic Site,SNOMED,,Concept poss_eq from,7
318,Condition,SNOMED,S,Spec Anatomic Site,SNOMED,,Concept replaces,2
319,Condition,SNOMED,S,Spec Anatomic Site,SNOMED,,Concept same_as from,4
320,Condition,SNOMED,S,Spec Anatomic Site,SNOMED,,Has finding site,1890
321,Condition,SNOMED,S,Spec Anatomic Site,SNOMED,,Mapped from,11
322,Condition,SNOMED,S,Specimen,SNOMED,,Concept poss_eq from,1
323,Condition,SNOMED,S,Specimen,SNOMED,,Mapped from,1
324,Condition,SNOMED,S,Type Concept,Read,,Value mapped from,1
325,Condition,SNOMED,,Condition,OMOP Extension,S,Maps to,4
326,Condition,SNOMED,,Condition,OMOP Extension,S,Subsumes,4
327,Condition,SNOMED,,Condition,OMOP Extension,,Is a,1
328,Condition,SNOMED,,Condition,SNOMED,S,Asso with finding,16
329,Condition,SNOMED,,Condition,SNOMED,S,Concept alt_to to,286
330,Condition,SNOMED,,Condition,SNOMED,S,Concept poss_eq to,19615
331,Condition,SNOMED,,Condition,SNOMED,S,Concept replaced by,5469
332,Condition,SNOMED,,Condition,SNOMED,S,Concept same_as to,13322
333,Condition,SNOMED,,Condition,SNOMED,S,Concept was_a to,17436
334,Condition,SNOMED,,Condition,SNOMED,S,Due to of,82
335,Condition,SNOMED,,Condition,SNOMED,S,Finding asso with,146
336,Condition,SNOMED,,Condition,SNOMED,S,Followed by,225
337,Condition,SNOMED,,Condition,SNOMED,S,Follows,23
338,Condition,SNOMED,,Condition,SNOMED,S,Has asso finding,22
339,Condition,SNOMED,,Condition,SNOMED,S,Has due to,414
340,Condition,SNOMED,,Condition,SNOMED,S,Has manifestation,108
341,Condition,SNOMED,,Condition,SNOMED,S,Is a,15385
342,Condition,SNOMED,,Condition,SNOMED,S,Manifestation of,7
343,Condition,SNOMED,,Condition,SNOMED,S,Maps to,41455
344,Condition,SNOMED,,Condition,SNOMED,S,Maps to value,10
345,Condition,SNOMED,,Condition,SNOMED,S,Occurs after,233
346,Condition,SNOMED,,Condition,SNOMED,S,Occurs before,11
347,Condition,SNOMED,,Condition,SNOMED,S,Subsumes,10092
348,Condition,SNOMED,,Condition,SNOMED,,Asso finding of,3
349,Condition,SNOMED,,Condition,SNOMED,,Asso with finding,3
350,Condition,SNOMED,,Condition,SNOMED,,Concept alt_to from,56
351,Condition,SNOMED,,Condition,SNOMED,,Concept alt_to to,56
352,Condition,SNOMED,,Condition,SNOMED,,Concept poss_eq from,986
353,Condition,SNOMED,,Condition,SNOMED,,Concept poss_eq to,986
354,Condition,SNOMED,,Condition,SNOMED,,Concept replaced by,269
355,Condition,SNOMED,,Condition,SNOMED,,Concept replaces,269
356,Condition,SNOMED,,Condition,SNOMED,,Concept same_as from,975
357,Condition,SNOMED,,Condition,SNOMED,,Concept same_as to,975
358,Condition,SNOMED,,Condition,SNOMED,,Concept was_a from,579
359,Condition,SNOMED,,Condition,SNOMED,,Concept was_a to,579
360,Condition,SNOMED,,Condition,SNOMED,,Due to of,33
361,Condition,SNOMED,,Condition,SNOMED,,Finding asso with,3
362,Condition,SNOMED,,Condition,SNOMED,,Followed by,3
363,Condition,SNOMED,,Condition,SNOMED,,Follows,3
364,Condition,SNOMED,,Condition,SNOMED,,Has asso finding,3
365,Condition,SNOMED,,Condition,SNOMED,,Has due to,33
366,Condition,SNOMED,,Condition,SNOMED,,Has manifestation,49
367,Condition,SNOMED,,Condition,SNOMED,,Is a,8985
368,Condition,SNOMED,,Condition,SNOMED,,Manifestation of,49
369,Condition,SNOMED,,Condition,SNOMED,,Occurs after,2
370,Condition,SNOMED,,Condition,SNOMED,,Occurs before,2
371,Condition,SNOMED,,Condition,SNOMED,,Subsumes,8985
372,Condition,SNOMED,,Device,SNOMED,S,Concept poss_eq to,5
373,Condition,SNOMED,,Device,SNOMED,S,Concept same_as to,2
374,Condition,SNOMED,,Device,SNOMED,S,Finding asso with,45
375,Condition,SNOMED,,Device,SNOMED,S,Has causative agent,31
376,Condition,SNOMED,,Device,SNOMED,S,Maps to,7
377,Condition,SNOMED,,Device,SNOMED,S,Maps to value,3
378,Condition,SNOMED,,Device,SNOMED,,Concept poss_eq from,1
379,Condition,SNOMED,,Device,SNOMED,,Concept replaced by,1
380,Condition,SNOMED,,Device,SNOMED,,Finding asso with,1
381,Condition,SNOMED,,Device,SNOMED,,Has causative agent,18
382,Condition,SNOMED,,Drug,RxNorm,S,Maps to,10
383,Condition,SNOMED,,Drug,RxNorm,S,Maps to value,25
384,Condition,SNOMED,,Drug,RxNorm Extension,S,Maps to value,1
385,Condition,SNOMED,,Drug,SNOMED,,Concept poss_eq to,14
386,Condition,SNOMED,,Drug,SNOMED,,Concept replaced by,1
387,Condition,SNOMED,,Drug,SNOMED,,Concept same_as to,6
388,Condition,SNOMED,,Drug,SNOMED,,Finding asso with,31
389,Condition,SNOMED,,Drug,SNOMED,,Has causative agent,2239
390,Condition,SNOMED,,Measurement,LOINC,S,Maps to,57
391,Condition,SNOMED,,Measurement,OMOP Extension,S,Maps to,3
392,Condition,SNOMED,,Measurement,OMOP Genomic,S,Has variant,17
393,Condition,SNOMED,,Measurement,SNOMED,S,Concept poss_eq to,24
394,Condition,SNOMED,,Measurement,SNOMED,S,Concept replaced by,15
395,Condition,SNOMED,,Measurement,SNOMED,S,Concept same_as to,23
396,Condition,SNOMED,,Measurement,SNOMED,S,Concept was_a to,3
397,Condition,SNOMED,,Measurement,SNOMED,S,Finding asso with,1
398,Condition,SNOMED,,Measurement,SNOMED,S,Focus of,4
399,Condition,SNOMED,,Measurement,SNOMED,S,Has interprets,675
400,Condition,SNOMED,,Measurement,SNOMED,S,Has manifestation,6
401,Condition,SNOMED,,Measurement,SNOMED,S,Is a,27
402,Condition,SNOMED,,Measurement,SNOMED,S,Maps to,584
403,Condition,SNOMED,,Measurement,SNOMED,S,Subsumes,21
404,Condition,SNOMED,,Measurement,SNOMED,S,Using finding method,4
405,Condition,SNOMED,,Measurement,SNOMED,,Concept poss_eq from,9
406,Condition,SNOMED,,Measurement,SNOMED,,Concept poss_eq to,102
